codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;total_entregado_total;total_entregado_parcial;total_pendiente;Total;matched_rows_per_source
19943740;19943740;19943740;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20015775-8;20015775-8;200157758;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20212115;20212115;20212115;;;;;;;;;0;0;0;0;{'1': [], '2': []}
57692-1;57692-1;576921;;;;;;2;;;2;0;0;2;{'1': [], '2': [1241, 1242]}
2005669-3;2005669-3;20056693;;;;;;;;;0;0;0;0;{'1': [], '2': []}
200640;200640;200640;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20218076;20218076;20218076;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20212115;20212115;20212115;;;;;;;;;0;0;0;0;{'1': [], '2': []}
1981349;1981349;1981349;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20032011-9;20032011-9;200320119;;;;;;;;;0;0;0;0;{'1': [], '2': []}
NSOC06986-21CO;NSOC06986-21CO;NSOC0698621CO;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20137157;20137157;20137157;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19908041-3;19908041-3;199080413;;;124;;;;;;124;0;0;124;{'1': [8688, 13042, 13043, 1612], '2': []}
20007729-6;20007729-6;200077296;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20154835;20154835;20154835;;;;;;;;;0;0;0;0;{'1': [], '2': []}
RSA00171802022;RSA00171802022;RSA00171802022;;;;;;;;;0;0;0;0;{'1': [], '2': []}
2018DM-001850;2018DM-001850;2018DM001850;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19930311-2;19930311-2;199303112;;;;;;60;;;60;0;0;60;{'1': [], '2': [3995]}
2019RD-0005466;2019RD-0005466;2019RD0005466;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20193080;20193080;20193080;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19993862;19993862;19993862;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20003165-8;20003165-8;200031658;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20015464;20015464;20015464;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20024861;20024861;20024861;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
170176;170176;170176;;;;;;;;;0;0;0;0;{'1': [], '2': []}
