codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
AP23277;AP23277;AP23277;;;;;;0;0;0;{'1': []}
AP21781;AP21781;AP21781;;;28;;;28;0;0;{'1': [2724]}
AP23276;AP23276;AP23276;;;;;;0;0;0;{'1': []}
AP23654;AP23654;AP23654;;;;;;0;0;0;{'1': []}
AP23684;AP23684;AP23684;;;;;;0;0;0;{'1': []}
AP24083;AP24083;AP24083;;;112;28;;112;28;0;{'1': [2058, 2061, 4878, 2420, 2677]}
AP23685;AP23685;AP23685;;;;;;0;0;0;{'1': []}
AP21597;AP21597;AP21597;;;;;;0;0;0;{'1': []}
AP20635;AP20635;AP20635;;;;;;0;0;0;{'1': []}
AP22151;AP22151;AP22151;;;;;;0;0;0;{'1': []}
AP22229;AP22229;AP22229;;;;;;0;0;0;{'1': []}
AP20178;AP20178;AP20178;;;;;;0;0;0;{'1': []}
AP20676;AP20676;AP20676;;;;;;0;0;0;{'1': []}
AP21962;AP21962;AP21962;;;;;;0;0;0;{'1': []}
AP23045;AP23045;AP23045;;;;;;0;0;0;{'1': []}
AP23744;AP23744;AP23744;;;;;;0;0;0;{'1': []}
AP23686;AP23686;AP23686;;;;;;0;0;0;{'1': []}
AP23647;AP23647;AP23647;;;;;;0;0;0;{'1': []}
AP22874;AP22874;AP22874;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP22875;AP22875;AP22875;;;;;;0;0;0;{'1': []}
AP24074;AP24074;AP24074;;;;;;0;0;0;{'1': []}
AP23025;AP23025;AP23025;;;;;;0;0;0;{'1': []}
